1	I	0	496
2	B	42	27
3	B	83	27
4	B	125	27
5	P	167	28
6	B	208	27
7	B	250	28
8	B	292	27
9	P	333	30
10	B	375	27
11	B	417	28
12	B	458	27
13	P	500	30
14	B	542	67
15	B	583	1208
16	B	625	8857
17	P	667	15148
18	P	708	22927
19	P	750	29016
20	P	792	34363
21	P	833	38110
22	P	875	42676
23	P	917	47238
24	P	958	46828
25	P	1000	47796
26	P	1042	50625
27	P	1083	53719
28	P	1125	54527
29	P	1167	50108
30	P	1208	61948
31	P	1250	54627
32	P	1292	83995
33	I	1333	101250
34	B	1375	25456
35	P	1417	46904
36	P	1458	48202
37	P	1500	62686
38	B	1542	25764
39	P	1583	50579
40	B	1625	31307
41	P	1667	58654
42	B	1708	29522
43	P	1750	57149
44	P	1792	44896
45	P	1833	46153
46	P	1875	46407
47	P	1917	43711
48	P	1958	44460
49	P	2000	46396
50	P	2042	40342
51	P	2083	40631
52	P	2125	46951
53	P	2167	56944
54	P	2208	43995
55	P	2250	43052
56	P	2292	47171
57	P	2333	48314
58	P	2375	49405
59	P	2417	47408
60	P	2458	47637
61	P	2500	44697
62	P	2542	45133
63	P	2583	42874
64	P	2625	39193
65	I	2667	88178
66	P	2708	36588
67	P	2750	34082
68	P	2792	34048
69	P	2833	33515
70	P	2875	33601
71	P	2917	32685
72	P	2958	32934
73	P	3000	35548
74	P	3042	33145
75	P	3083	32503
76	P	3125	31079
77	P	3167	33109
78	P	3208	33359
79	P	3250	32137
80	P	3292	26170
81	I	3333	45149
82	P	3375	30837
83	P	3417	34317
84	P	3458	37093
85	P	3500	36487
86	P	3542	36605
87	P	3583	39197
88	P	3625	52167
89	P	3667	43233
90	P	3708	37063
91	P	3750	38636
92	P	3792	38362
93	P	3833	37024
94	P	3875	48660
95	P	3917	41173
96	P	3958	44876
97	I	4000	53636
98	P	4042	42708
99	P	4083	32284
100	P	4125	41935
101	P	4167	38042
102	P	4208	48078
103	P	4250	36837
104	P	4292	46270
105	P	4333	36249
106	P	4375	34970
107	P	4417	34325
108	P	4458	37073
109	P	4500	50362
110	P	4542	40362
111	P	4583	49175
112	P	4625	41528
113	P	4667	56728
114	P	4708	42340
115	P	4750	53853
116	P	4792	48127
117	P	4833	34671
118	I	4875	106346
119	B	4917	32910
120	B	4958	54894
121	B	5000	29449
122	P	5042	80521
123	B	5083	40937
124	B	5125	45644
125	P	5167	78197
126	B	5208	37528
127	P	5250	52535
128	P	5292	39680
129	P	5333	79226
130	P	5375	63401
131	P	5417	56754
132	P	5458	65857
133	P	5500	46357
134	P	5542	50128
135	P	5583	58241
136	P	5625	63303
137	P	5667	51918
138	P	5708	54429
139	P	5750	41276
140	P	5792	55335
141	P	5833	58247
142	P	5875	44887
143	P	5917	57180
144	P	5958	41809
145	P	6000	33773
146	P	6042	57869
147	I	6083	59611
148	P	6125	42500
149	P	6167	45013
150	B	6208	17733
151	P	6250	33004
152	B	6292	21507
153	P	6333	50822
154	B	6375	19252
155	P	6417	44759
156	B	6458	23622
157	P	6500	53666
158	B	6542	17297
159	P	6583	46153
160	B	6625	34952
161	P	6667	75397
162	B	6708	27550
163	P	6750	66833
164	B	6792	18053
165	P	6833	45429
166	B	6875	21735
167	P	6917	54787
168	B	6958	20967
169	P	7000	57886
170	B	7042	22449
171	P	7083	51979
172	B	7125	14694
173	P	7167	59194
174	B	7208	25172
175	P	7250	55151
176	B	7292	25009
177	P	7333	55506
178	P	7375	51211
179	I	7417	99349
180	B	7458	21283
181	P	7500	44762
182	B	7542	20696
183	P	7583	51618
184	B	7625	26249
185	P	7667	43299
186	I	7708	69966
187	B	7750	8611
188	P	7792	27441
189	B	7833	8773
190	P	7875	42912
191	B	7917	12354
192	P	7958	56723
193	B	8000	14244
194	P	8042	52565
195	B	8083	15096
196	P	8125	56774
197	B	8167	30765
198	P	8208	87011
199	P	8250	54687
200	P	8292	52929
201	B	8333	10913
202	B	8375	19742
203	P	8417	72714
204	B	8458	15044
205	B	8500	24189
206	P	8542	83351
207	B	8583	26028
208	P	8625	85319
209	B	8667	15652
210	P	8708	52704
211	I	8750	120887
212	B	8792	10583
213	B	8833	27554
