1	I	0	567
2	B	42	31
3	B	83	31
4	B	125	31
5	P	167	32
6	B	208	31
7	B	250	32
8	B	292	31
9	P	333	35
10	B	375	31
11	B	417	32
12	B	458	31
13	P	500	35
14	B	542	76
15	B	583	1380
16	B	625	10122
17	P	667	17312
18	P	708	26202
19	P	750	33161
20	P	792	39272
21	P	833	43554
22	P	875	48773
23	P	917	53986
24	P	958	53518
25	P	1000	54624
26	P	1042	57857
27	P	1083	61393
28	P	1125	62316
29	P	1167	57266
30	P	1208	70798
31	P	1250	62431
32	P	1292	95995
33	I	1333	115715
34	B	1375	29093
35	P	1417	53605
36	P	1458	55088
37	P	1500	71641
38	B	1542	29444
39	P	1583	57805
40	B	1625	35780
41	P	1667	67033
42	B	1708	33739
43	P	1750	65313
44	P	1792	51310
45	P	1833	52746
46	P	1875	53037
47	P	1917	49955
48	P	1958	50811
49	P	2000	53024
50	P	2042	46105
51	P	2083	46436
52	P	2125	53658
53	P	2167	65079
54	P	2208	50280
55	P	2250	49202
56	P	2292	53910
57	P	2333	55216
58	P	2375	56463
59	P	2417	54180
60	P	2458	54442
61	P	2500	51082
62	P	2542	51580
63	P	2583	48999
64	P	2625	44792
65	I	2667	100775
66	P	2708	41815
67	P	2750	38951
68	P	2792	38912
69	P	2833	38303
70	P	2875	38401
71	P	2917	37354
72	P	2958	37639
73	P	3000	40626
74	P	3042	37880
75	P	3083	37146
76	P	3125	35519
77	P	3167	37839
78	P	3208	38125
79	P	3250	36728
80	P	3292	29909
81	I	3333	51599
82	P	3375	35243
83	P	3417	39219
84	P	3458	42392
85	P	3500	41700
86	P	3542	41834
87	P	3583	44797
88	P	3625	59619
89	P	3667	49409
90	P	3708	42358
91	P	3750	44155
92	P	3792	43843
93	P	3833	42313
94	P	3875	55612
95	P	3917	47055
96	P	3958	51287
97	I	4000	61298
98	P	4042	48809
99	P	4083	36896
100	P	4125	47926
101	P	4167	43477
102	P	4208	54946
103	P	4250	42100
104	P	4292	52880
105	P	4333	41427
106	P	4375	39966
107	P	4417	39229
108	P	4458	42369
109	P	4500	57557
110	P	4542	46128
111	P	4583	56200
112	P	4625	47461
113	P	4667	64832
114	P	4708	48389
115	P	4750	61546
116	P	4792	55002
117	P	4833	39624
118	I	4875	121538
119	B	4917	37612
120	B	4958	62736
